column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,10800
2,45,1283760,14760
3,75,2106000,109440
4,105,2913120,120600
5,135,3694680,237240
6,165,4453920,468360
7,195,5193720,691200
8,225,5911560,811080
9,255,6614640,1309320
10,285,7291800,1460880
11,315,7952760,957960
12,345,8595000,1552680
13,375,9215280,2539080
14,405,9826200,1540800
15,435,10415160,2412360
16,465,10986120,2676240
17,495,11538360,2440080
18,525,12073680,2654640
19,555,12593880,3545640
20,585,13098240,3246120
21,615,13592520,3628080
22,645,14065200,2939400
23,675,14524560,3164400
24,705,14968080,3449880
25,735,15399360,3238920
26,765,15811920,3959280
27,795,16218000,4715640
28,825,16607160,3845160
29,855,16982640,5437440
30,885,17345160,4057560
31,915,17698320,4655520
32,945,18032760,5562000
33,975,18360360,6258240
34,1005,18672120,4992480
35,1035,18978120,5062680
36,1065,19267200,6318720
37,1095,19545840,4774680
38,1125,19818360,5538960
39,1155,20078640,4993200
40,1185,20327760,6366240
41,1215,20563560,5034240
42,1245,20790360,4002480
43,1275,21011040,4327560
44,1305,21221640,4956480
45,1335,21420000,6788520
46,1365,21614760,6658560
47,1395,21796560,6730560
48,1425,21970080,5679000
49,1455,22135680,5255640
50,1485,22291920,6202800
51,1515,22443840,5436000
52,1545,22579920,6960600
53,1575,22716720,6867360
54,1605,22843440,6112440
55,1635,22960080,7894080
56,1665,23073840,6680880
57,1695,23176440,6148080
58,1725,23272920,5910840
59,1755,23361840,6430680
60,1785,23446800,6629400
61,1815,23526720,6979680
62,1845,23599440,6815160
63,1875,23669280,6206400
64,1905,23726880,6357960
65,1935,23778360,6440040
66,1965,23832000,5809320
67,1995,23873040,6206040
68,2025,23910480,5469120
69,2055,23949720,6127920
70,2085,23973120,4510440
71,2115,23995440,5450040
72,2145,24014880,5483160
73,2175,24029280,5882760
74,2205,24034680,5078880
75,2235,24040800,6096600
76,2265,24036120,5907600
77,2295,24032160,5995440
78,2325,24033240,3900240
79,2355,24017040,5917320
80,2385,23997600,6170760
81,2415,23974920,6081120
82,2445,23954760,5153040
83,2475,23928120,4086720
84,2505,23896440,4792320
85,2535,23859720,5807520
86,2565,23824440,4367880
87,2595,23788080,3051000
88,2625,23740200,3513600
89,2655,23693400,4017600
90,2685,23646960,4844880
91,2715,23592960,5044320
92,2745,23534640,4817880
93,2775,23478480,3942720
94,2805,23418360,3992040
95,2835,23355720,5259960
96,2865,23290560,4730760
97,2895,23222520,4351320
98,2925,23151960,4475160
99,2955,23078160,4459680
100,2985,23005080,4330080
101,3015,22928400,4467600
102,3045,22847400,3234240
103,3075,22767840,3973320
104,3105,22686840,5068800
105,3135,22603680,3809520
106,3165,22514760,3031560
107,3195,22428000,2721600
108,3225,22341960,2961720
109,3255,22249080,2977560
110,3285,22156200,3125160
111,3315,22064400,3053880
112,3345,21970800,3474720
113,3375,21872520,3162600
114,3405,21774600,3027600
115,3435,21678120,3305160
116,3465,21575520,2398320
117,3495,21474720,2511360
118,3525,21368160,3574800
119,3555,21264120,2700000
120,3585,21157920,3035520
121,3615,21056760,2543400
122,3645,20949120,2203200
123,3675,20844000,2246760
124,3705,20736720,2559240
125,3735,20627640,2802960
126,3765,20509920,1870200
127,3795,20408400,2460240
128,3825,20291400,2148120
129,3855,20182320,2271960
130,3885,20066040,2175120
131,3915,19956240,1619640
132,3945,19842480,2316600
133,3975,19731960,2104200
134,4005,19616400,1854360
135,4035,19497960,2834640
136,4065,19383120,2164320
137,4095,19272960,1869120
138,4125,19154160,2434320
139,4155,19039320,1893960
140,4185,18922320,2004480
141,4215,18804960,2491920
142,4245,18687240,1924560
143,4275,18568800,1429200
144,4305,18452880,2277720
145,4335,18337320,1448640
146,4365,18218880,1641240
147,4395,18101520,1623600
148,4425,17982720,1221120
149,4455,17868960,1613520
150,4485,17750160,1790280
151,4515,17626680,958320
152,4545,17512560,1363320
153,4575,17391960,1812960
154,4605,17274600,1118520
155,4635,17157960,1308600
156,4665,17038800,1474560
157,4695,16926840,1887120
158,4725,16806960,1961640
159,4755,16687440,1576440
160,4785,16569360,1074960
161,4815,16454880,1415520
162,4845,16337880,1635120
163,4875,16219800,1415160
164,4905,16103160,1104480
165,4935,15983640,817920
166,4965,15869880,1491120
167,4995,15756120,1168920
168,5025,15641280,993240
169,5055,15525000,852840
170,5085,15412680,991800
171,5115,15296400,1023120
172,5145,15184440,810360
173,5175,15073560,774000
174,5205,14952960,748440
175,5235,14844240,856080
