column_number, radial distance, total stars, total sterilizations- at least sterilized once
1,15,432360,21240
2,45,1283760,55800
3,75,2106000,149400
4,105,2913120,126720
5,135,3694680,262080
6,165,4453920,622080
7,195,5193720,928080
8,225,5911560,707400
9,255,6614640,1190520
10,285,7291800,1541520
11,315,7952760,1177920
12,345,8595000,1598760
13,375,9215280,2271960
14,405,9826200,1928520
15,435,10415160,2337480
16,465,10986120,3056040
17,495,11538360,2809440
18,525,12073680,2480040
19,555,12593880,3276000
20,585,13098240,3964680
21,615,13592520,3732120
22,645,14065200,3460320
23,675,14524560,3399120
24,705,14968080,3489120
25,735,15399360,3332160
26,765,15811920,4539240
27,795,16218000,4701240
28,825,16607160,4650480
29,855,16982640,5735880
30,885,17345160,5075280
31,915,17698320,4662360
32,945,18032760,5921280
33,975,18360360,6397200
34,1005,18672120,6435360
35,1035,18978120,6073920
36,1065,19267200,6718680
37,1095,19545840,5993640
38,1125,19818360,5345280
39,1155,20078640,7251120
40,1185,20327760,6492960
41,1215,20563560,6407640
42,1245,20790360,5603040
43,1275,21011040,5343120
44,1305,21221640,4977360
45,1335,21420000,5895720
46,1365,21614760,7207200
47,1395,21796560,5901840
48,1425,21970080,6499440
49,1455,22135680,6492960
50,1485,22291920,6514200
51,1515,22443840,6302880
52,1545,22579920,5346000
53,1575,22716720,6381000
54,1605,22843440,6165720
55,1635,22960080,7697520
56,1665,23073840,6410520
57,1695,23176440,6036120
58,1725,23272920,5703840
59,1755,23361840,7026840
60,1785,23446800,4959720
61,1815,23526720,6504480
62,1845,23599440,6333840
63,1875,23669280,5719320
64,1905,23726880,5322240
65,1935,23778360,5911920
66,1965,23832000,5270040
67,1995,23873040,5935320
68,2025,23910480,5658120
69,2055,23949720,5851080
70,2085,23973120,5735160
71,2115,23995440,6060960
72,2145,24014880,6514920
73,2175,24029280,7046280
74,2205,24034680,5680800
75,2235,24040800,6642720
76,2265,24036120,6003360
77,2295,24032160,5466600
78,2325,24033240,3569040
79,2355,24017040,5833080
80,2385,23997600,4665960
81,2415,23974920,6096240
82,2445,23954760,5567400
83,2475,23928120,5668560
84,2505,23896440,4879440
85,2535,23859720,5594040
86,2565,23824440,4107240
87,2595,23788080,3771720
88,2625,23740200,4711680
89,2655,23693400,4780080
90,2685,23646960,5415840
91,2715,23592960,5075280
92,2745,23534640,4961160
93,2775,23478480,3273120
94,2805,23418360,3807720
95,2835,23355720,4723200
96,2865,23290560,3933720
97,2895,23222520,4692600
98,2925,23151960,3333240
99,2955,23078160,3348000
100,2985,23005080,3891960
101,3015,22928400,3870720
102,3045,22847400,3243600
103,3075,22767840,3761640
104,3105,22686840,5558760
105,3135,22603680,4451400
106,3165,22514760,3801960
107,3195,22428000,3398400
108,3225,22341960,3219480
109,3255,22249080,4218120
110,3285,22156200,4060440
111,3315,22064400,3071880
112,3345,21970800,2523600
113,3375,21872520,3269880
114,3405,21774600,3697200
115,3435,21678120,3053160
116,3465,21575520,3034800
117,3495,21474720,2645280
118,3525,21368160,3263400
119,3555,21264120,2602440
120,3585,21157920,2557440
121,3615,21056760,2390040
122,3645,20949120,2451240
123,3675,20844000,2564640
124,3705,20736720,2980080
125,3735,20627640,2521080
126,3765,20509920,3050280
127,3795,20408400,3029040
128,3825,20291400,3163320
129,3855,20182320,2844360
130,3885,20066040,2146680
131,3915,19956240,1565640
132,3945,19842480,2341080
133,3975,19731960,1522800
134,4005,19616400,1875600
135,4035,19497960,2372400
